category,text
Entailment,and these comments were considered in formulating the interim rules.[SEP]The rules developed in the interim were put together with these comments in mind.
Contradiction,"These are issues that we wrestle with in practice groups of law firms, she said. [SEP]Practice groups are not permitted to work on these issues."
Entailment,you know they can't really defend themselves like somebody grown uh say my age you know yeah[SEP]They can't defend themselves because of their age.
Contradiction,From Cockpit Country to St. Ann's Bay[SEP]From St. Ann's Bay to Cockpit Country.
Neutral,"Look, it's your skin, but you're going to be in trouble if you don't get busy.[SEP]The boss will fire you if he sees you slacking off."
Neutral,"""If you people only knew how fatally easy it is to poison some one by mistake, you wouldn't joke about it. [SEP]Many people have poisoned someone by mistake."
Entailment,"My own little corner of the world, policy wonking, is an example.[SEP]An example is policy wonking."
Neutral,life in prison then he's available for parole if it's if it's life and a day then he's not eligible for parole so what you know let's quit BSing with the system[SEP]The system is corrupt because he won't be able to get parole if it's life and a day.
Contradiction,"The streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images.[SEP]Vendors have lined the streets with torches and fires."
Contradiction,"North of Mytilini, stop at the village of Moria, where you will find the remains of a huge Roman aqueduct surrounded by grazing goats.[SEP]There is nothing special to see in the village of Moria."
Entailment,"Increased saving by current generations would expand the nation's capital stock, allowing future generations to better afford the nation's retirement costs while also enjoying higher standards of living.[SEP]Current generations' increased saving would expand the nation's capital stock, allowing future generations to more easily afford the nation's retirement costs while also enjoying higher standards of living."
Neutral,"It's just the beginning!""[SEP]A great journey is about to begin!"
Neutral,"Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.[SEP]The Sun makes millions every year off fake news."
Contradiction,Savonarola burned in Florence[SEP]Florence became Savonarola's new home.
Entailment,"It will be COLOSSAL!""[SEP]It will be gigantic."
Contradiction,He says men are here.[SEP]He said that the men were not here. 
Entailment,"yeah uh-huh oh yeah petting zoos and things[SEP]Yes, petting and other things."
Entailment,"The almost midtown Massabielle quarter (faubourg de Massabielle), is sometimes described as the most picturesque in the city.[SEP]The Massabielle quarter is considered the most photogenic."
Entailment,4) Not enough is known about how nontransportation costs vary with distance.[SEP]The ways in which distance affects nontransportation costs is a subject we don't have enough information on.
Contradiction,i am surprised though that we do have so many that are in politics down here[SEP]I am surprised that not many of them are in politics down here.
Contradiction,The draft treaty was Tommy's bait.[SEP]The treaty bait was not for Tommy.
Contradiction,"Therefore, the number of boilermakers may actually grow more quickly than what was assumed.[SEP]The number of boil makers will decrease drastically as expected."
Entailment,"As long as Assad lives, he can manage these troubles and keep an agreement with Israel.[SEP]As long as Assad doesn't die he will be able to take care of the troubles."
Neutral,The four Javis children? asked Severn.[SEP]Severn knows everything about the Jarvis children.
Entailment,My brain refusing to command properly.[SEP]My brain was not commanding properly.
Entailment," ""So your girl writes that your little farewell activity didn't fare so well, eh?"" he chortled.[SEP]Your farewell activity didn't go well."
Entailment,You have to walk through it).[SEP]You need to pass through it on foot.
Entailment,"No, I exclaimed, astonished. [SEP]""No!"" I cried out in shock. "
Neutral,"Bauerstein had been at Styles on the fatal night, and added: ""He said twice: 'That alters everything.' And I've been thinking. [SEP]Styles is responsible for what happened. "
Contradiction,"Long ago--or away, or whatever--there was a world called Thar?? and another called Erath.[SEP]Erath is the only world that has ever existed."
Contradiction,"Then, all the time, it was in the spill vase in Mrs. Inglethorp's bedroom, under our very noses? I cried. [SEP]So it was hidden in another country, impossible for us to locate?"
Neutral,because i always had to do it and so i just pay someone else to do it and they do the they do the cutting they fertilize they um edge and um i think this year i'm going to have some landscaping put in[SEP]I have never developed a love for gardening. 
Neutral,' She gets a little obsessive about her sauce.[SEP]Her sauce is so complicated that she's obsessed with perfecting each ingredient. 
Neutral,"Rather, kids today are not only little bundles of joy but also are perhaps the ultimate symbols of worldly success and status.[SEP]While kids today are symbols of success and status, and their parents are too. "
Contradiction,China's civil war sent distressing echoes to Hong Kong.[SEP]Japan fought a civil war.
Neutral,"The seven grants flow from a new Nonprofit Capacity Building program at the foundation, part of a trend among philanthropists to give money to help organizations grow stronger, rather than to the program services they provide.[SEP]The grants flow from a Nonprofit Capacity Building program at the foundation, exemplifying a trend among philanthropists to give money to grow organizations and then to take them over."
Neutral,"Or, eligibility could be restricted to those who have already been pregnant, or at least sexually active; to those over age 13, or under age 21; or some combination thereof.[SEP]The age of consent is age 21 as well."
Entailment,"In this respect, bringing Steve Jobs back to save Apple is like bringing Gen.[SEP]Steve Jobs came back to Apple."
Contradiction,or they had somebody at home that was ill that they had to tend to i mean you can't make it everybody[SEP]They did not have anything to do.
Contradiction,"from generation to generation (Michiko Kakutani, the New York Times ). A few, like Pearl K. Bell in the Wall Street Journal , find a surfeit of sweetly obedient docility in the novel and say parts are perilously at the edge of sentimentality.[SEP]They complained that the novel lacked any emotions."
Entailment,"Hey, no problem, a fine policy.[SEP]No worries, a good policy."
Contradiction,"The m??tro (subway) is the fastest way to move around the city, but the buses, both in the capital and the other big towns, are best for taking in the sights.[SEP]Taking the subway is a good way to experience big city life. "
Entailment,"They were so sure of themselves that they took it for granted he had made a mistake.""[SEP]They simply assumed that he'd made a mistake."
Neutral,i'm on i'm in the Plano school system and living in Richardson and there is a real dichotomy in terms of educational and economic background of the kids that are going to be attending this school[SEP]There is a huge amount of poor students and very few wealthy.
Entailment,"okay and and i think we just hang up i don't think we have to do anything else[SEP]That's it, we just hang up, right? "
Entailment,"They capitalized on the natural resources by using the salt to cure fish, which they exported to their home country.[SEP]They used salt to cure fish and sent it back home. "
Contradiction,"News berates computer users for picking obvious, easily cracked passwords and chastises system administrators for ignoring basic security precautions.[SEP]News outlets do not blame users or system administrators for security breaches. "
