id,premise,hypothesis,lang_abv,language,label
5130fd2cb5,and these comments were considered in formulating the interim rules.,The rules developed in the interim were put together with these comments in mind.,en,English,0
5b72532a0b,"These are issues that we wrestle with in practice groups of law firms, she said. ",Practice groups are not permitted to work on these issues.,en,English,2
5622f0c60b,you know they can't really defend themselves like somebody grown uh say my age you know yeah,They can't defend themselves because of their age.,en,English,0
fdcd1bd867,From Cockpit Country to St. Ann's Bay,From St. Ann's Bay to Cockpit Country.,en,English,2
7cfb3d272c,"Look, it's your skin, but you're going to be in trouble if you don't get busy.",The boss will fire you if he sees you slacking off.,en,English,1
6a98a077a5,"It will be COLOSSAL!""",It will be gigantic.,en,English,0
d999bfa2a1,The four Javis children? asked Severn.,Severn knows everything about the Jarvis children.,en,English,1
097b4dfe2a,You have to walk through it).,You need to pass through it on foot.,en,English,0
b0c2761b43,"No, I exclaimed, astonished. ","""No!"" I cried out in shock. ",en,English,0
7ca8ba219d,China's civil war sent distressing echoes to Hong Kong.,Japan fought a civil war.,en,English,2
